SHA256,Name,Family,Notes
21e6d1415a8b72e228861b36b6cd143149ebb6d32414e89089551c50f9618273,PJVTXJY.html,Darkcloud Stealer,yandex
21e6d1415a8b72e228861b36b6cd143149ebb6d32414e89089551c50f9618273,UFTOYRG.html,Darkcloud Stealer,yandex
1568ed9366bd6a4dfaa68fb2dd6bfe64029f379108ca2975ea18de63e70b90e7,ETMWDVR.html,Formbook,
4400c85803d951545098b279b6cb478cec86707f83fe1656dcaa21142cbdbe75,FXKOPBW.html,njrat,157.90.140.28 nyancat botnet
24381711d4be8eb84add235150e79594cde54d4bbce50aff0e0a176c90a03a88,QUYRMHO.html,njrat,93.184.220.29:80
a4905720789060b400839c087e9065758b548aa19af0071721567ac6796eba64,GVLIHER.html,Raccoon,http://64.44.135.91/
1976859574585aac13a24b6696cec26479029a92334c721ec71492094a7edec3,VHSGBCN.html,Raccoon,http://64.44.135.91/
1227762670b7f30a26b51d681acad249a14986f375f5d659ef36e25e4e8bef1b,QBAGDAQ.html,Raccoon,C2: http://5.2.70.65/
c7d3d775fda24b3244022a1488315c51a55d54e155b8e788583c0d50a4a9f5e9,FOCVIVH.html,Raccoon,C2: http://5.2.70.65/
23b137ce3bf552461beac7baf3a449a620010feac5cf69a1864e40b5efa04c2d,JFRDVCH.html,Raccoon,C2: http://5.2.70.65/
23b137ce3bf552461beac7baf3a449a620010feac5cf69a1864e40b5efa04c2d,UUTGOJW.html,Raccoon,C2: http://5.2.70.65/
fa5ac27700f443ba8bc0509f2ce8c1c0be408e3dbca55a07de27f7d1bcb5de16,DRBFSJC.html,Raccoon,C2: http://5.2.70.65/
fa5ac27700f443ba8bc0509f2ce8c1c0be408e3dbca55a07de27f7d1bcb5de16,LYUAODH.html,Raccoon,C2: http://5.2.70.65/
5a3544515807da069035c75e37e1570b893768eeab16385402b0464fd26272c0,KJLKDOX.html,Raccoon,C2: http://94.131.107.206
792d8bfb5e0660c8967fa84902963bbd3ccc345f9e17f777c6d016343655afdf,IPPMKEK.html,Raccoon,http://94.131.107.206
1976859574585aac13a24b6696cec26479029a92334c721ec71492094a7edec3,BEEHKJV.html,Raccoonv2,http://64.44.135.91/
ea902470772ae28793614f759b824e7c86e0cb23701fd282c0effd30d23c56ce,EABTFES.html,Raccoonv2,94.131.107.206 | UA IP Space
ea902470772ae28793614f759b824e7c86e0cb23701fd282c0effd30d23c56ce,HIKULMH.html,Raccoonv2,94.131.107.206 | UA IP Space
ea902470772ae28793614f759b824e7c86e0cb23701fd282c0effd30d23c56ce,JWGFNJN.html,Raccoonv2,94.131.107.206 | UA IP Space
ea902470772ae28793614f759b824e7c86e0cb23701fd282c0effd30d23c56ce,MPCKTXM.html,Raccoonv2,94.131.107.206 | UA IP Space
ea902470772ae28793614f759b824e7c86e0cb23701fd282c0effd30d23c56ce,WFSTRVG.html,Raccoonv2,94.131.107.206 | UA IP Space
74fafd06a9aba842fafaab7223ac2f1d59a5d1cf16dcaef3ea25d787adf9864e,IFUNEMO.html,Redline,94.131.107.33:2079
74fafd06a9aba842fafaab7223ac2f1d59a5d1cf16dcaef3ea25d787adf9864e,IXFHNXQ.html,Redline,94.131.107.33:2080
0e141b028d4745d2ed54b82d53c9690f0049b0ce35120100eab2dd15f9958576,LPOUBJT.html,Redline,94.131.107.33:2079
04c3fd290c0b77f5d9af9c2a9e161f1c0e48696dae814cb9218e60c5264813cd,PAMDGTA.html,Redline,45.138.16.38:29243
04c3fd290c0b77f5d9af9c2a9e161f1c0e48696dae814cb9218e60c5264813cd,YLJQQMW.html,Redline,45.138.16.38:29244 http://www.aaa4bn.com/qtmt/
01c02817ce858e909b011f7121403363d887e4d36ab9829773bc7fd0c6d3fb26,KRAYIFC.html,Redline,45.138.16.38:29244
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,AWWSXMC.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,BDUNFBV.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,DPGPIKJ.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,EAJKDUT.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,GCUFCRO.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,GYRGGUY.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,HKNQNRU.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,IBXMYVX.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,JFVCRNN.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,JIWSLGU.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,LDNUBOX.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,LDSEATD.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,LLGSCGS.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,MWVXTLC.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,OIHBQRT.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,OVGVGRN.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,OYDWAMO.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,PGFASKI.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,PKGQVTY.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,PLSHNSN.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,PSWYSVY.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,PTPVBOB.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,PWFKFXI.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,QFKMYSY.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,QLEOHUV.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,QWXMJVS.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,RETDADF.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,RLPPSGW.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,RQKUEDN.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,RWTYGTK.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,SGVEESQ.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,SPCAGMW.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,STGSAEG.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,TSLIVKG.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,UAWSMSB.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,UGOODUI.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,URSMBFQ.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,USHRWEW.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,UVGDUUU.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,VQKLWIU.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,WFRDUTK.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,WKHVXOV.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,WUVNTTY.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,XRKEGJH.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
d6ef67304b2eca589df643aa3e30a21ce7b835bb66b0d3856ece4e46e7217d6e,XUYNOOB.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
b7149d17821e8a67af81dc5cc7d7d09def03d6347e178434ec8923a1fcb74e66,YLFDGFQ.html,Remcos,Remcos v 3.7.0 Light | BreakingSecurity.net
0773f517b40992fd3e6291eb906558588f1de9e3887bb2433f95bb4ea9f5904a,BTDBCDL.html,Remcos,ratagain.gleeze.com and ratagainbk.gleeze.com
3caa28ccd4f696457a578dad8fbc486f7d0b15436dba414bed9fc76b5d18d7f3,YUMUOKK.html,UNK,
93d71d133db34fde0d1c35ef82d0531f03250aadafb2c90e1e250fb71ef207c8,GYIVORQ.html,UNK,broken or part of a larger chain
413e51b7bf413b4e97a199702b643b61274b5d40e6a45ae9ec9b994e6aeebc7a,HAPGTTV.html,UNK,
6ab1259eb3db88c35e0cba1e1811198b534dc0a6bbab83f22b22d79e6dd20d46,HAIXIYT.html,UNK,mimics Image Servicing and Management tool
6ab1259eb3db88c35e0cba1e1811198b534dc0a6bbab83f22b22d79e6dd20d46,OLCCKFC.html,UNK,mimics Image Servicing and Management tool
55a75580ff02a8fcb1220a95990c088e2fd122c9ab1f86c5a95bde5ad9104d1a,EFNONGY.html,x.worm 2.2,
55a75580ff02a8fcb1220a95990c088e2fd122c9ab1f86c5a95bde5ad9104d1a,LUAYBYT.html,x.worm 2.2,
